bins	SAMPLE_12	SAMPLE_13	SAMPLE_14	SAMPLE_15	SAMPLE_16	SAMPLE_17	SAMPLE_18	SAMPLE_19	SAMPLE_21	SAMPLE_22
year_1978_Bin_3_MAG_00002	0.030930271547784514	0.6779322131063314	0.021466390485822297	0.051395596610114495	0.032706878741826796	0.045318356111042006	0.010304321725445233	0.01400626274316804	0.0050134394790782195	0.0003683012173950666
year_1978_Bin_40_MAG_00001	0.049381289624029615	0.7933480209758441	0.4472492181324986	0.10206948707916359	0.03625256793034661	0.07374544512397403	0.04615928652019288	0.023079205606863103	0.01348934795795378	0.005223828993126218
year_1978_Bin_40_MAG_00002	0.03225911370985906	0.14578927211476775	0.15516135248730914	0.28381157288487857	0.26641313424777385	0.20558405559173962	0.08368765261342485	0.06730805977770785	0.12949505741883183	0.0188653163910579
year_1978_Bin_40_MAG_00003	0.04173378076685857	0.05576854396714116	0.05549832323859265	0.048204035036206794	0.032498917724195456	0.0798967478238874	0.052420592713846276	0.03164591167180829	0.04564334541062129	0.062319028720841926
year_1978_Bin_4_MAG_00001	1.6584697010239364	0.32353286064381304	0.34060994972352987	0.24534562507024404	0.4619888799540974	8.171806066232438	3.453602045158702	0.8014637902591906	0.18917752788971398	0.07882260711804027
year_1978_Bin_5_MAG_00002	0.05958650331691295	0.10083155394529247	0.10507295517069752	0.05075883839293461	0.03579772703994297	0.08232236841899193	0.07701552695518385	0.05581948375873158	0.08292235394792358	0.16045830687873777
year_1978_Bin_6_MAG_00001	0.026239178094582916	0.034937169272810806	0.03212670724459669	0.02238094217922686	0.014037234257802365	0.036840697902309864	0.03436983998140112	0.020113211948668996	0.033777119728697576	0.07590508858668356
year_1978_Bin_6_MAG_00002	0.05851007864550688	0.0930200917026638	0.05928815948744266	0.027260548353742177	0.020747781366701145	0.05174179037846235	0.04496042348211283	0.03963585972760143	0.07346090397533722	0.24617572094968027
year_1978_Bin_8_MAG_00001	0.04887730469442493	0.031135771568646282	0.029680474513705056	0.057947004675669406	0.0166323508559092	0.05601945485636726	0.0360684883959788	0.023889872612875444	0.07954510558336124	0.047790511610016115
year_1978_Bin_9_MAG_00001	0.025413976414037517	0.1480373037049107	0.06516691447542619	0.15981882803429945	0.022461912133124224	0.03633495936615272	0.028803949324805997	0.03642916064117971	0.04688932113978451	0.007506823227488441
year_2021_Bin_11_MAG_00001	0.33176366338084023	0.2665025705410037	0.23374148355702407	0.25902905568091095	0.10785299240594458	0.22558112172632824	0.1780425546022621	0.0943165935705574	0.2058602172721112	0.4298044017665589
year_2021_Bin_12_MAG_00001	1.5707282576808341	2.3394124310651745	2.9795510285818585	1.7020031464503413	0.873359807459112	1.4184450121224796	0.9151529885736116	0.46464085907405095	1.0647449771701307	0.12311983335193025
year_2021_Bin_12_MAG_00002	1.536417088684624	1.938469395746765	1.7219807101667812	2.17555763178708	1.019388742241249	2.4243303693718836	4.989739935455428	0.6434031910477407	0.8371876598309134	0.30893148472738063
year_2021_Bin_12_MAG_00003	0.9184992116802264	0.41793387048449127	0.3969627159792071	0.6152729927884337	3.572228499512066	0.46835514210166745	0.3022064481245538	0.3169345875589507	0.38803625577760986	0.1937980376344707
year_2021_Bin_13_MAG_00001	0.006381181819149141	0.010295330647446404	0.014352535861634918	0.015372453015041414	0.011620277119530113	0.012629553715308333	0.006188469497659274	0.003605572657077291	0.0024808263062959393	0.0013588386186033992
year_2021_Bin_14_MAG_00001	0.04032355589953861	0.011933572066426036	0.011463124652914616	0.010565385788219939	0.0090608551235375	0.01235374989744531	0.014495898049492775	0.013515878311568027	0.01601773852324091	0.005395918015053369
year_2021_Bin_15_MAG_00001	6.820461268997594	7.463053404574461	10.180756124357403	3.2072371707737055	4.693941932095309	3.941624695729235	4.926410485180382	0.9326614949342162	1.8967300835171146	0.23333179564588974
year_2021_Bin_16_MAG_00001	0.07989864408712168	0.1451282851407671	0.058338759185192074	0.962100449770614	0.8466501240694789	0.11625865260845952	0.15022938601360414	0.8791950336202784	0.06750099765663209	0.04916871948895977
year_2021_Bin_16_MAG_00002	0.042441451893718805	0.05816262602094585	0.06995676702195056	0.48266041070075144	2.1669367787293146	3.4288770109805444	4.739230253353578	3.092766313690142	0.429181231901614	0.027380635297552136
year_2021_Bin_17_MAG_00001	1.1051863436385578	1.6970632004459043	1.932336181565319	1.3419339477144696	0.8429751126936627	1.314695902983338	0.5235679922940804	0.2354986390177117	0.5293425616771198	0.1978186403164622
year_2021_Bin_17_MAG_00003	1.4334350214649791	1.0089047291772497	1.2089768073186478	0.37741328211801073	0.24002473837717334	0.7894313161414289	0.6392470912938479	0.38144096519513165	0.8718494110147352	2.1263776115875572
year_2021_Bin_17_MAG_00004	2.0975264311343937	0.8884326348811412	0.8762656665169686	0.45855938728557066	0.46103893969052606	1.6959967491627976	0.41811066128630314	0.40390337175729973	5.322965152787376	0.18570539024840893
year_2021_Bin_18_MAG_00001	0.2944569695449955	0.25820112126421363	0.20404971505076955	0.19830068505589962	0.08187195207243601	0.27383402651202937	0.2689721968704127	0.0827727690147266	0.31961264517803867	0.35887563757025587
year_2021_Bin_18_MAG_00002	0.23380912361793207	0.3178581654503679	0.2866940993122409	1.0553552589521746	0.690819373067539	1.6403896276927945	1.8378443039361192	0.32735096470117997	0.25455975920423124	2.843428143357779
year_2021_Bin_1_MAG_00001	0.6680614519455774	0.5368526688679857	0.6012884190275349	0.42584838647021284	0.24095008185576736	0.5441720543485299	0.4237127371273713	0.23217440365529934	0.4461023705800198	1.3771007334646725
year_2021_Bin_20_MAG_00001	0.2755829703680225	0.8982483288162998	0.0418318262704973	16.387843718949103	258.9963326554815	0.06649328618048903	0.05600913853462921	0.06451522911035214	0.0327200020893506	0.020034319957928075
year_2021_Bin_20_MAG_00002	0.0818074182842705	0.045562042128034164	0.0349376668744494	0.11977878087463312	1.4284737595489385	0.05384792947725186	0.07625829732726323	0.11177287482835892	0.02756731160664864	0.01280456864406004
year_2021_Bin_20_MAG_00003	0.038369536940885594	0.0628686071788087	0.016775151646135886	0.0563699019370782	9.353495144236163	0.04904735688037693	0.03254702230053371	0.038460633143060474	0.012133219330614101	0.004378425851512579
year_2021_Bin_22_MAG_00002	0.5036277635067521	0.01746102978345868	0.02026709170251617	0.5231827654152869	0.5171690755470273	0.36058488853125353	0.07499019941609153	0.07680666027049611	0.021885993418134176	0.015531604304003797
year_2021_Bin_22_MAG_00003	6.098940374142793	4.219025792825823	3.4997715714312005	4.558203145940119	0.9911322242701821	6.381735209016807	1.3975411858176396	1.2689752398366623	2.8097642078435943	0.017009327299867635
