""	SAMPLE_101	SAMPLE_102	SAMPLE_103	SAMPLE_104	SAMPLE_105	SAMPLE_106	SAMPLE_107	SAMPLE_108	SAMPLE_109	SAMPLE_111	SAMPLE_112	SAMPLE_113	SAMPLE_114	SAMPLE_115	SAMPLE_116	SAMPLE_117	SAMPLE_118	SAMPLE_121	SAMPLE_122	SAMPLE_123	SAMPLE_124	SAMPLE_125	SAMPLE_126	SAMPLE_127	SAMPLE_128	SAMPLE_129	SAMPLE_130	SAMPLE_132	SAMPLE_133	SAMPLE_134	SAMPLE_135	SAMPLE_136	SAMPLE_137
year_2021_Bin_12_MAG_00003	0,038295787	0,019055057	0,015518925	0,024715621	0,005975798	0,015568515	0,0108207865	0,022113388	0,017674008	0,0037439773	0,010667905	0,0051274933	0,008123431	0,044488363	0,014083802	0,014512935	0,023105899	0,02953582	0,028765623	0,02451773	0,037158895	0,028643709	0,027595745	0,027395166	0,023802115	0,0066398974	0,007081759	0,027137306	0,02546525	0,03240699	0,022827605	0,03292596	0,038258318
year_2021_Bin_15_MAG_00001	0,023095654	0,02342137	0,025439026	0,021810194	0,02784668	0,017156927	0,024416858	0,016973494	0,030560551	0,012689518	0,026388384	0,018156365	0,015061155	0,03210664	0,022574333	0,015239178	0,018147148	0,026224025	0,0180018	0,020027855	0,026885401	0,022339685	0,017569365	0,018139346	0,026180694	0,027634988	0,019281564	0,022559829	0,02384166	0,025882835	0,017330905	0,02824498	0,028481955
year_2021_Bin_16_MAG_00001	0	0,040028892	0,051720206	0,036802586	0,020934837	0,04378789	0,04314362	0,035143033	0,025401605	0,032385103	0,038182292	0,03466866	0,040408373	0,021260515	0,005077873	0,0029022396	0,040084545	0,04123841	0,013712836	0,038432837	0,0330383	0,03861306	0,034106884	0,028812226	0,014297644	0,020334689	0,013728234	0,012613468	0,013081193	0,01203807	0,023398118	0,015789645	0,01398123
year_2021_Bin_16_MAG_00002	0	0,028249083	0,030801218	0,031697173	0,042710938	0,040750653	0,022824218	0,033248354	0,014768101	0,021744698	0,036885433	0,022256	0,024390567	0,009985332	0,003441089	0,0029944042	0,037185974	0,027700605	0,023311904	0,03629724	0,03670142	0,027360074	0,025246525	0,0229976	0,013249988	0,017755574	0,014177441	0,012655712	0,015995074	0,014370829	0,013910129	0,017615533	0,019998368
year_2021_Bin_17_MAG_00001	0,002521383	0,0033428501	0,0041405186	0,0086550135	0,0057462496	0,0067910054	0,016370071	0,0031865842	0,00398114	0,0021981236	0,004242341	0,018954726	0,022532722	0,014477448	0,013076068	0,026947556	0,013126459	0,009218746	0,015289849	0,009816421	0,013245988	0,014598233	0,011014728	0,013471968	0,019608209	0,009193816	0,009464219	0,015512221	0,014065808	0,015494942	0,012430892	0,019575085	0,017884905
year_2021_Bin_17_MAG_00003	0,017612543	0,0072151055	0,0048015863	0,01023903	0,006946546	0,0053829555	0,021721443	0,01856828	0,0104916785	0,012997567	0,00873847	0,0058759437	0,012472216	0,009911571	0,019903375	0,013226864	0,023226732	0,016979849	0,01644262	0,015944967	0,019868711	0,015598637	0,017025547	0,017204884	0,017024757	0,020267725	0,01691934	0,0197323	0,02778355	0,017651832	0,015494297	0,035468306	0,03072357
year_2021_Bin_17_MAG_00004	0,010279226	0,0040437668	0,010304235	0,007360718	0,0077912253	0,0032521056	0,011316206	0,006923484	0,0049606278	0,007021491	0,008844254	0,013541963	0,01487647	0,015123235	0,023879493	0,017273838	0,016599461	0,011564193	0,011458296	0,008525574	0,010777661	0,009793058	0,010373341	0,011040715	0,015916174	0,012081879	0,011177595	0,013694748	0,010966206	0,011378231	0,010292088	0,011372047	0,013181029
year_2021_Bin_18_MAG_00001	0,02046118	0,008426171	0,010848816	0,007479378	0,0123909665	0,009098336	0,027674539	0,0023795837	0,011928184	0,011407606	0,009464659	0,018702976	0,022780469	0,025422037	0,017533112	0,01530691	0,014257182	0,023230417	0,02257545	0,027895715	0,020809732	0,027724778	0,017346049	0,018429486	0,030878035	0,034099903	0,031645503	0,019664425	0,024463862	0,0247699	0,029986506	0,034750845	0,031984497
year_2021_Bin_18_MAG_00002	0,03691371	0,0137798255	0,025809534	0,023875896	0,029458191	0,029730132	0,026360922	0,002808778	0,0094694495	0,0065165623	0,015575682	0,0295364	0,01902989	0,030326577	0,027063208	0,030403946	0,027087988	0,028599776	0,030652072	0,033808485	0,035584178	0,031493645	0,032040164	0,03353816	0,034586594	0,03592624	0,026332466	0,038809247	0,031631827	0,030284747	0,03111241	0,03406006	0,03916674
year_2021_Bin_2_MAG_00002	0,025560874	0,017514162	0,015262812	0,02489101	0,030152405	0,035583418	0,032776948	0,027873304	0,024610573	0,023807999	0,01905262	0,014429433	0,006698216	0,013575479	0,0072769416	0,0049510286	0,026838675	0,025611578	0,025216326	0,033314668	0,030176895	0,034969	0,037889123	0,029961022	0,028733758	0,022734117	0,02309977	0,031283483	0,028142398	0,026419008	0,022725292	0,030439278	0,026061565
